milestone_id,project_id,reporting_date,milestone_name,baseline_date,forecast_date,actual_date,criticality
P07-M1,P07,2026-08-31,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P07-M2,P07,2026-08-31,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P07-M3,P07,2026-08-31,Readiness gate,2026-09-14,2026-09-21,,Critical
P07-M4,P07,2026-08-31,Release handover,2026-10-05,2026-10-12,,Critical
P07-M1,P07,2026-09-07,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P07-M2,P07,2026-09-07,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P07-M3,P07,2026-09-07,Readiness gate,2026-09-14,2026-09-21,,Critical
P07-M4,P07,2026-09-07,Release handover,2026-10-05,2026-10-12,,Critical
P07-M1,P07,2026-09-14,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P07-M2,P07,2026-09-14,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P07-M3,P07,2026-09-14,Readiness gate,2026-09-14,2026-09-21,,Critical
P07-M4,P07,2026-09-14,Release handover,2026-10-05,2026-10-12,,Critical
P07-M1,P07,2026-09-21,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P07-M2,P07,2026-09-21,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P07-M3,P07,2026-09-21,Readiness gate,2026-09-14,2026-09-14,2026-09-14,Critical
P07-M4,P07,2026-09-21,Release handover,2026-10-05,2026-10-05,,Critical
P08-M1,P08,2026-07-06,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P08-M2,P08,2026-07-06,Build acceptance,2026-08-10,2026-08-10,,Normal
P08-M3,P08,2026-07-06,Readiness gate,2026-09-14,2026-09-14,,Critical
P08-M4,P08,2026-07-06,Release handover,2026-10-05,2026-10-05,,Critical
P08-M1,P08,2026-07-13,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P08-M2,P08,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal
P08-M3,P08,2026-07-13,Readiness gate,2026-09-14,2026-09-14,,Critical
P08-M4,P08,2026-07-13,Release handover,2026-10-05,2026-10-05,,Critical
P08-M1,P08,2026-07-20,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P08-M2,P08,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal
P08-M3,P08,2026-07-20,Readiness gate,2026-09-14,2026-09-14,,Critical
P08-M4,P08,2026-07-20,Release handover,2026-10-05,2026-10-05,,Critical
P08-M1,P08,2026-07-27,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P08-M2,P08,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal
P08-M3,P08,2026-07-27,Readiness gate,2026-09-14,2026-09-14,,Critical
P08-M4,P08,2026-07-27,Release handover,2026-10-05,2026-10-05,,Critical
P08-M1,P08,2026-08-03,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P08-M2,P08,2026-08-03,Build acceptance,2026-08-10,2026-08-10,,Normal
P08-M3,P08,2026-08-03,Readiness gate,2026-09-14,2026-09-14,,Critical
P08-M4,P08,2026-08-03,Release handover,2026-10-05,2026-10-05,,Critical
P08-M1,P08,2026-08-10,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P08-M2,P08,2026-08-10,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P08-M3,P08,2026-08-10,Readiness gate,2026-09-14,2026-09-17,,Critical
P08-M4,P08,2026-08-10,Release handover,2026-10-05,2026-10-08,,Critical
P08-M1,P08,2026-08-17,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P08-M2,P08,2026-08-17,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P08-M3,P08,2026-08-17,Readiness gate,2026-09-14,2026-09-20,,Critical
P08-M4,P08,2026-08-17,Release handover,2026-10-05,2026-10-11,,Critical
P08-M1,P08,2026-08-24,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P08-M2,P08,2026-08-24,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P08-M3,P08,2026-08-24,Readiness gate,2026-09-14,2026-09-23,,Critical
P08-M4,P08,2026-08-24,Release handover,2026-10-05,2026-10-14,,Critical
P08-M1,P08,2026-08-31,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P08-M2,P08,2026-08-31,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P08-M3,P08,2026-08-31,Readiness gate,2026-09-14,2026-09-26,,Critical
P08-M4,P08,2026-08-31,Release handover,2026-10-05,2026-10-17,,Critical
P08-M1,P08,2026-09-07,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P08-M2,P08,2026-09-07,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P08-M3,P08,2026-09-07,Readiness gate,2026-09-14,2026-09-29,,Critical
P08-M4,P08,2026-09-07,Release handover,2026-10-05,2026-10-20,,Critical
P08-M1,P08,2026-09-14,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P08-M2,P08,2026-09-14,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P08-M3,P08,2026-09-14,Readiness gate,2026-09-14,2026-10-02,,Critical
P08-M4,P08,2026-09-14,Release handover,2026-10-05,2026-10-23,,Critical
P08-M1,P08,2026-09-21,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P08-M2,P08,2026-09-21,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P08-M3,P08,2026-09-21,Readiness gate,2026-09-14,2026-10-05,,Critical
P08-M4,P08,2026-09-21,Release handover,2026-10-05,2026-10-26,,Critical
P09-M1,P09,2026-07-06,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P09-M2,P09,2026-07-06,Build acceptance,2026-08-10,2026-08-10,,Normal
P09-M3,P09,2026-07-06,Readiness gate,2026-09-28,2026-09-28,,Normal
P09-M4,P09,2026-07-06,Release handover,2026-10-05,2026-10-05,,Critical
P09-M1,P09,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P09-M2,P09,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal
P09-M3,P09,2026-07-13,Readiness gate,2026-09-28,2026-09-28,,Normal
P09-M4,P09,2026-07-13,Release handover,2026-10-05,2026-10-05,,Critical
P09-M1,P09,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P09-M2,P09,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal
P09-M3,P09,2026-07-20,Readiness gate,2026-09-28,2026-09-28,,Normal
P09-M4,P09,2026-07-20,Release handover,2026-10-05,2026-10-05,,Critical
P09-M1,P09,2026-07-27,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P09-M2,P09,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal
P09-M3,P09,2026-07-27,Readiness gate,2026-09-28,2026-09-28,,Normal
P09-M4,P09,2026-07-27,Release handover,2026-10-05,2026-10-05,,Critical
P09-M1,P09,2026-08-03,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P09-M2,P09,2026-08-03,Build acceptance,2026-08-10,2026-08-10,,Normal
P09-M3,P09,2026-08-03,Readiness gate,2026-09-28,2026-09-28,,Normal
P09-M4,P09,2026-08-03,Release handover,2026-10-05,2026-10-05,,Critical
P09-M1,P09,2026-08-10,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P09-M2,P09,2026-08-10,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P09-M3,P09,2026-08-10,Readiness gate,2026-09-28,2026-09-28,,Normal
P09-M4,P09,2026-08-10,Release handover,2026-10-05,2026-10-05,,Critical
P09-M1,P09,2026-08-17,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P09-M2,P09,2026-08-17,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P09-M3,P09,2026-08-17,Readiness gate,2026-09-28,2026-09-28,,Normal
P09-M4,P09,2026-08-17,Release handover,2026-10-05,2026-10-05,,Critical
P09-M1,P09,2026-08-24,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P09-M2,P09,2026-08-24,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P09-M3,P09,2026-08-24,Readiness gate,2026-09-28,2026-09-28,,Normal
P09-M4,P09,2026-08-24,Release handover,2026-10-05,2026-10-05,,Critical
P09-M1,P09,2026-08-31,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P09-M2,P09,2026-08-31,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P09-M3,P09,2026-08-31,Readiness gate,2026-09-28,2026-09-28,,Normal
P09-M4,P09,2026-08-31,Release handover,2026-10-05,2026-10-05,,Critical
P09-M1,P09,2026-09-07,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P09-M2,P09,2026-09-07,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P09-M3,P09,2026-09-07,Readiness gate,2026-09-28,2026-09-28,,Normal
P09-M4,P09,2026-09-07,Release handover,2026-10-05,2026-10-05,,Critical
P09-M1,P09,2026-09-14,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P09-M2,P09,2026-09-14,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P09-M3,P09,2026-09-14,Readiness gate,2026-09-28,2026-09-28,,Normal
P09-M4,P09,2026-09-14,Release handover,2026-10-05,2026-10-05,,Critical
P09-M1,P09,2026-09-21,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P09-M2,P09,2026-09-21,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P09-M3,P09,2026-09-21,Readiness gate,2026-09-28,2026-09-28,,Normal
P09-M4,P09,2026-09-21,Release handover,2026-10-05,2026-10-05,,Critical
P10-M1,P10,2026-07-06,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P10-M2,P10,2026-07-06,Build acceptance,2026-08-10,2026-08-10,,Normal
P10-M3,P10,2026-07-06,Readiness gate,2026-09-28,2026-09-28,,Normal
P10-M4,P10,2026-07-06,Release handover,2026-10-05,2026-10-05,,Critical
P10-M1,P10,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P10-M2,P10,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal
P10-M3,P10,2026-07-13,Readiness gate,2026-09-28,2026-09-28,,Normal
P10-M4,P10,2026-07-13,Release handover,2026-10-05,2026-10-05,,Critical
P10-M1,P10,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P10-M2,P10,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal
P10-M3,P10,2026-07-20,Readiness gate,2026-09-28,2026-09-28,,Normal
P10-M4,P10,2026-07-20,Release handover,2026-10-05,2026-10-05,,Critical
P10-M1,P10,2026-07-27,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P10-M2,P10,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal
P10-M3,P10,2026-07-27,Readiness gate,2026-09-28,2026-09-28,,Normal
P10-M4,P10,2026-07-27,Release handover,2026-10-05,2026-10-05,,Critical
P10-M1,P10,2026-08-03,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P10-M2,P10,2026-08-03,Build acceptance,2026-08-10,2026-08-10,,Normal
P10-M3,P10,2026-08-03,Readiness gate,2026-09-28,2026-09-28,,Normal
P10-M4,P10,2026-08-03,Release handover,2026-10-05,2026-10-05,,Critical
P10-M1,P10,2026-08-10,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P10-M2,P10,2026-08-10,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P10-M3,P10,2026-08-10,Readiness gate,2026-09-28,2026-09-28,,Normal
P10-M4,P10,2026-08-10,Release handover,2026-10-05,2026-10-05,,Critical
P10-M1,P10,2026-08-17,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P10-M2,P10,2026-08-17,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P10-M3,P10,2026-08-17,Readiness gate,2026-09-28,2026-09-28,,Normal
P10-M4,P10,2026-08-17,Release handover,2026-10-05,2026-10-05,,Critical
P10-M1,P10,2026-08-24,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P10-M2,P10,2026-08-24,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P10-M3,P10,2026-08-24,Readiness gate,2026-09-28,2026-09-28,,Normal
P10-M4,P10,2026-08-24,Release handover,2026-10-05,2026-10-05,,Critical
P10-M1,P10,2026-08-31,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P10-M2,P10,2026-08-31,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P10-M3,P10,2026-08-31,Readiness gate,2026-09-28,2026-09-28,,Normal
P10-M4,P10,2026-08-31,Release handover,2026-10-05,2026-10-05,,Critical
P10-M1,P10,2026-09-07,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P10-M2,P10,2026-09-07,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P10-M3,P10,2026-09-07,Readiness gate,2026-09-28,2026-09-28,,Normal
P10-M4,P10,2026-09-07,Release handover,2026-10-05,2026-10-05,,Critical
P10-M1,P10,2026-09-14,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P10-M2,P10,2026-09-14,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P10-M3,P10,2026-09-14,Readiness gate,2026-09-28,2026-09-28,,Normal
P10-M4,P10,2026-09-14,Release handover,2026-10-05,2026-10-05,,Critical
P10-M1,P10,2026-09-21,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P10-M2,P10,2026-09-21,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P10-M3,P10,2026-09-21,Readiness gate,2026-09-28,2026-09-28,,Normal
P10-M4,P10,2026-09-21,Release handover,2026-10-05,2026-10-05,,Critical
P11-M1,P11,2026-07-06,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P11-M2,P11,2026-07-06,Build acceptance,2026-08-10,2026-08-10,,Normal
P11-M3,P11,2026-07-06,Readiness gate,2026-09-14,2026-09-21,,Normal
P11-M4,P11,2026-07-06,Release handover,2026-10-05,2026-10-12,,Critical
P11-M1,P11,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P11-M2,P11,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal
P11-M3,P11,2026-07-13,Readiness gate,2026-09-14,2026-09-21,,Normal
P11-M4,P11,2026-07-13,Release handover,2026-10-05,2026-10-12,,Critical
P11-M1,P11,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P11-M2,P11,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal
P11-M3,P11,2026-07-20,Readiness gate,2026-09-14,2026-09-21,,Normal
P11-M4,P11,2026-07-20,Release handover,2026-10-05,2026-10-12,,Critical
P11-M1,P11,2026-07-27,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P11-M2,P11,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal
P11-M3,P11,2026-07-27,Readiness gate,2026-09-14,2026-09-21,,Normal
P11-M4,P11,2026-07-27,Release handover,2026-10-05,2026-10-12,,Critical
P11-M1,P11,2026-08-03,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P11-M2,P11,2026-08-03,Build acceptance,2026-08-10,2026-08-10,,Normal
P11-M3,P11,2026-08-03,Readiness gate,2026-09-14,2026-09-21,,Normal
P11-M4,P11,2026-08-03,Release handover,2026-10-05,2026-10-12,,Critical
P11-M1,P11,2026-08-10,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P11-M2,P11,2026-08-10,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P11-M3,P11,2026-08-10,Readiness gate,2026-09-14,2026-09-21,,Normal
P11-M4,P11,2026-08-10,Release handover,2026-10-05,2026-10-12,,Critical
P11-M1,P11,2026-08-17,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P11-M2,P11,2026-08-17,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P11-M3,P11,2026-08-17,Readiness gate,2026-09-14,2026-09-21,,Normal
P11-M4,P11,2026-08-17,Release handover,2026-10-05,2026-10-12,,Critical
P11-M1,P11,2026-08-24,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P11-M2,P11,2026-08-24,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P11-M3,P11,2026-08-24,Readiness gate,2026-09-14,2026-09-21,,Normal
P11-M4,P11,2026-08-24,Release handover,2026-10-05,2026-10-12,,Critical
P11-M1,P11,2026-08-31,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P11-M2,P11,2026-08-31,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P11-M3,P11,2026-08-31,Readiness gate,2026-09-14,2026-09-21,,Normal
P11-M4,P11,2026-08-31,Release handover,2026-10-05,2026-10-12,,Critical
P11-M1,P11,2026-09-07,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P11-M2,P11,2026-09-07,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P11-M3,P11,2026-09-07,Readiness gate,2026-09-14,2026-09-21,,Normal
P11-M4,P11,2026-09-07,Release handover,2026-10-05,2026-10-12,,Critical
P11-M1,P11,2026-09-14,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P11-M2,P11,2026-09-14,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P11-M3,P11,2026-09-14,Readiness gate,2026-09-14,2026-09-21,,Normal
P11-M4,P11,2026-09-14,Release handover,2026-10-05,2026-10-12,,Critical
P11-M1,P11,2026-09-21,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P11-M2,P11,2026-09-21,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P11-M3,P11,2026-09-21,Readiness gate,2026-09-14,2026-09-21,,Normal
P11-M4,P11,2026-09-21,Release handover,2026-10-05,2026-10-12,,Critical
P12-M1,P12,2026-07-06,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P12-M2,P12,2026-07-06,Build acceptance,2026-08-10,2026-08-10,,Normal
P12-M3,P12,2026-07-06,Readiness gate,2026-09-14,2026-09-21,,Critical
P12-M4,P12,2026-07-06,Release handover,2026-10-05,2026-10-12,,Critical
P12-M1,P12,2026-07-13,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P12-M2,P12,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal
P12-M3,P12,2026-07-13,Readiness gate,2026-09-14,2026-09-21,,Critical
P12-M4,P12,2026-07-13,Release handover,2026-10-05,2026-10-12,,Critical
P12-M1,P12,2026-07-20,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P12-M2,P12,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal
P12-M3,P12,2026-07-20,Readiness gate,2026-09-14,2026-09-21,,Critical
P12-M4,P12,2026-07-20,Release handover,2026-10-05,2026-10-12,,Critical
P12-M1,P12,2026-07-27,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P12-M2,P12,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal
P12-M3,P12,2026-07-27,Readiness gate,2026-09-14,2026-09-21,,Critical
P12-M4,P12,2026-07-27,Release handover,2026-10-05,2026-10-12,,Critical
P12-M1,P12,2026-08-03,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P12-M2,P12,2026-08-03,Build acceptance,2026-08-10,2026-08-10,,Normal
P12-M3,P12,2026-08-03,Readiness gate,2026-09-14,2026-09-21,,Critical
P12-M4,P12,2026-08-03,Release handover,2026-10-05,2026-10-12,,Critical
P12-M1,P12,2026-08-10,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P12-M2,P12,2026-08-10,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P12-M3,P12,2026-08-10,Readiness gate,2026-09-14,2026-09-21,,Critical
P12-M4,P12,2026-08-10,Release handover,2026-10-05,2026-10-12,,Critical
P12-M1,P12,2026-08-17,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P12-M2,P12,2026-08-17,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P12-M3,P12,2026-08-17,Readiness gate,2026-09-14,2026-09-21,,Critical
P12-M4,P12,2026-08-17,Release handover,2026-10-05,2026-10-12,,Critical
P12-M1,P12,2026-08-24,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P12-M2,P12,2026-08-24,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P12-M3,P12,2026-08-24,Readiness gate,2026-09-14,2026-09-21,,Critical
P12-M4,P12,2026-08-24,Release handover,2026-10-05,2026-10-12,,Critical
P12-M1,P12,2026-08-31,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P12-M2,P12,2026-08-31,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P12-M3,P12,2026-08-31,Readiness gate,2026-09-14,2026-09-21,,Critical
P12-M4,P12,2026-08-31,Release handover,2026-10-05,2026-10-12,,Critical
P12-M1,P12,2026-09-07,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P12-M2,P12,2026-09-07,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P12-M3,P12,2026-09-07,Readiness gate,2026-09-14,2026-09-21,,Critical
P12-M4,P12,2026-09-07,Release handover,2026-10-05,2026-10-12,,Critical
P12-M1,P12,2026-09-14,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P12-M2,P12,2026-09-14,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P12-M3,P12,2026-09-14,Readiness gate,2026-09-14,2026-09-21,,Critical
P12-M4,P12,2026-09-14,Release handover,2026-10-05,2026-10-12,,Critical
P12-M1,P12,2026-09-21,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P12-M2,P12,2026-09-21,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P12-M3,P12,2026-09-21,Readiness gate,2026-09-14,2026-09-21,,Critical
P12-M4,P12,2026-09-21,Release handover,2026-10-05,2026-10-12,,Critical
P13-M1,P13,2026-07-06,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P13-M2,P13,2026-07-06,Build acceptance,2026-08-10,2026-08-10,,Normal
P13-M3,P13,2026-07-06,Readiness gate,2026-09-28,2026-09-28,,Normal
P13-M4,P13,2026-07-06,Release handover,2026-10-05,2026-10-05,,Critical
P13-M1,P13,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P13-M2,P13,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal
P13-M3,P13,2026-07-13,Readiness gate,2026-09-28,2026-09-28,,Normal
P13-M4,P13,2026-07-13,Release handover,2026-10-05,2026-10-05,,Critical
P13-M1,P13,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P13-M2,P13,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal
P13-M3,P13,2026-07-20,Readiness gate,2026-09-28,2026-09-28,,Normal
P13-M4,P13,2026-07-20,Release handover,2026-10-05,2026-10-05,,Critical
P13-M1,P13,2026-07-27,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P13-M2,P13,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal
P13-M3,P13,2026-07-27,Readiness gate,2026-09-28,2026-09-28,,Normal
P13-M4,P13,2026-07-27,Release handover,2026-10-05,2026-10-05,,Critical
P13-M1,P13,2026-08-03,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P13-M2,P13,2026-08-03,Build acceptance,2026-08-10,2026-08-10,,Normal
P13-M3,P13,2026-08-03,Readiness gate,2026-09-28,2026-09-28,,Normal
P13-M4,P13,2026-08-03,Release handover,2026-10-05,2026-10-05,,Critical
P13-M1,P13,2026-08-10,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P13-M2,P13,2026-08-10,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P13-M3,P13,2026-08-10,Readiness gate,2026-09-28,2026-09-28,,Normal
P13-M4,P13,2026-08-10,Release handover,2026-10-05,2026-10-05,,Critical
P13-M1,P13,2026-08-17,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P13-M2,P13,2026-08-17,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P13-M3,P13,2026-08-17,Readiness gate,2026-09-28,2026-09-28,,Normal
P13-M4,P13,2026-08-17,Release handover,2026-10-05,2026-10-05,,Critical
P13-M1,P13,2026-08-24,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P13-M2,P13,2026-08-24,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P13-M3,P13,2026-08-24,Readiness gate,2026-09-28,2026-09-28,,Normal
P13-M4,P13,2026-08-24,Release handover,2026-10-05,2026-10-05,,Critical
P13-M1,P13,2026-08-31,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P13-M2,P13,2026-08-31,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P13-M3,P13,2026-08-31,Readiness gate,2026-09-28,2026-09-28,,Normal
P13-M4,P13,2026-08-31,Release handover,2026-10-05,2026-10-05,,Critical
P13-M1,P13,2026-09-07,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P13-M2,P13,2026-09-07,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P13-M3,P13,2026-09-07,Readiness gate,2026-09-28,2026-09-28,,Normal
P13-M4,P13,2026-09-07,Release handover,2026-10-05,2026-10-05,,Critical
P13-M1,P13,2026-09-14,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P13-M2,P13,2026-09-14,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P13-M3,P13,2026-09-14,Readiness gate,2026-09-28,2026-09-28,,Normal
P13-M4,P13,2026-09-14,Release handover,2026-10-05,2026-10-05,,Critical
P13-M1,P13,2026-09-21,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P13-M2,P13,2026-09-21,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P13-M3,P13,2026-09-21,Readiness gate,2026-09-28,2026-09-28,,Normal
P13-M4,P13,2026-09-21,Release handover,2026-10-05,2026-10-05,,Critical
P14-M1,P14,2026-07-06,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P14-M2,P14,2026-07-06,Build acceptance,2026-08-10,2026-08-10,,Normal
P14-M3,P14,2026-07-06,Readiness gate,2026-09-14,2026-09-21,,Normal
P14-M4,P14,2026-07-06,Release handover,2026-10-05,2026-10-12,,Critical
P14-M1,P14,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P14-M2,P14,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal
P14-M3,P14,2026-07-13,Readiness gate,2026-09-14,2026-09-21,,Normal
P14-M4,P14,2026-07-13,Release handover,2026-10-05,2026-10-12,,Critical
P14-M1,P14,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P14-M2,P14,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal
P14-M3,P14,2026-07-20,Readiness gate,2026-09-14,2026-09-21,,Normal
P14-M4,P14,2026-07-20,Release handover,2026-10-05,2026-10-12,,Critical
P14-M1,P14,2026-07-27,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P14-M2,P14,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal
P14-M3,P14,2026-07-27,Readiness gate,2026-09-14,2026-09-21,,Normal
P14-M4,P14,2026-07-27,Release handover,2026-10-05,2026-10-12,,Critical
P14-M1,P14,2026-08-03,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
