issue_id,project_id,reporting_date,title,owner_id,severity,status,opened_date,due_date,resolution_date,required_action,age_days,overdue,critical,escalation_status,owner
P04-I1,P04,2026-08-03,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P04-I2,P04,2026-08-03,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P05-I1,P05,2026-08-03,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P05-I2,P05,2026-08-03,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P06-I1,P06,2026-08-03,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P06-I2,P06,2026-08-03,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P07-I1,P07,2026-08-03,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P07-I2,P07,2026-08-03,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P08-I1,P08,2026-08-03,Acceptance defect,PM08,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,42,0,0,None,Demo Coordinator 08
P08-I2,P08,2026-08-03,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 08
P09-I1,P09,2026-08-03,Acceptance defect,PM09,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 09
P09-I2,P09,2026-08-03,Review backlog,PM09,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 09
P10-I1,P10,2026-08-03,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P10-I2,P10,2026-08-03,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P11-I1,P11,2026-08-03,Acceptance defect,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 02
P11-I2,P11,2026-08-03,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 02
P12-I1,P12,2026-08-03,Acceptance defect,PM03,Critical,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,42,0,1,PMO,Demo Coordinator 03
P12-I2,P12,2026-08-03,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 03
P13-I1,P13,2026-08-03,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P13-I2,P13,2026-08-03,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P14-I1,P14,2026-08-03,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P14-I2,P14,2026-08-03,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P15-I1,P15,2026-08-03,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P15-I2,P15,2026-08-03,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P16-I1,P16,2026-08-03,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P16-I2,P16,2026-08-03,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P17-I1,P17,2026-08-03,Acceptance defect,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 08
P17-I2,P17,2026-08-03,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 08
P18-I1,P18,2026-08-03,Acceptance defect,PM09,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 09
P18-I2,P18,2026-08-03,Review backlog,PM09,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 09
P01-I1,P01,2026-08-10,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P01-I2,P01,2026-08-10,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P02-I1,P02,2026-08-10,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,49,0,0,None,Demo Coordinator 02
P02-I2,P02,2026-08-10,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 02
P03-I1,P03,2026-08-10,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,49,0,0,None,Demo Coordinator 03
P03-I2,P03,2026-08-10,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 03
P04-I1,P04,2026-08-10,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P04-I2,P04,2026-08-10,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P05-I1,P05,2026-08-10,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P05-I2,P05,2026-08-10,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P06-I1,P06,2026-08-10,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P06-I2,P06,2026-08-10,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P07-I1,P07,2026-08-10,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P07-I2,P07,2026-08-10,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P08-I1,P08,2026-08-10,Acceptance defect,PM08,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,49,0,0,None,Demo Coordinator 08
P08-I2,P08,2026-08-10,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 08
P09-I1,P09,2026-08-10,Acceptance defect,PM09,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 09
P09-I2,P09,2026-08-10,Review backlog,PM09,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 09
P10-I1,P10,2026-08-10,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P10-I2,P10,2026-08-10,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P11-I1,P11,2026-08-10,Acceptance defect,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 02
P11-I2,P11,2026-08-10,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 02
P12-I1,P12,2026-08-10,Acceptance defect,PM03,Critical,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,49,0,1,PMO,Demo Coordinator 03
P12-I2,P12,2026-08-10,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 03
P13-I1,P13,2026-08-10,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P13-I2,P13,2026-08-10,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P14-I1,P14,2026-08-10,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P14-I2,P14,2026-08-10,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P15-I1,P15,2026-08-10,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P15-I2,P15,2026-08-10,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P16-I1,P16,2026-08-10,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P16-I2,P16,2026-08-10,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P17-I1,P17,2026-08-10,Acceptance defect,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 08
P17-I2,P17,2026-08-10,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 08
P18-I1,P18,2026-08-10,Acceptance defect,PM09,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 09
P18-I2,P18,2026-08-10,Review backlog,PM09,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 09
P01-I1,P01,2026-08-17,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P01-I2,P01,2026-08-17,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P02-I1,P02,2026-08-17,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,56,0,0,None,Demo Coordinator 02
P02-I2,P02,2026-08-17,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 02
P03-I1,P03,2026-08-17,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,56,0,0,None,Demo Coordinator 03
P03-I2,P03,2026-08-17,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 03
P04-I1,P04,2026-08-17,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P04-I2,P04,2026-08-17,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P05-I1,P05,2026-08-17,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P05-I2,P05,2026-08-17,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P06-I1,P06,2026-08-17,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P06-I2,P06,2026-08-17,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P07-I1,P07,2026-08-17,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P07-I2,P07,2026-08-17,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P08-I1,P08,2026-08-17,Acceptance defect,PM08,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,56,0,0,None,Demo Coordinator 08
P08-I2,P08,2026-08-17,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 08
P09-I1,P09,2026-08-17,Acceptance defect,PM09,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 09
P09-I2,P09,2026-08-17,Review backlog,PM09,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 09
P10-I1,P10,2026-08-17,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P10-I2,P10,2026-08-17,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P11-I1,P11,2026-08-17,Acceptance defect,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 02
P11-I2,P11,2026-08-17,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 02
P12-I1,P12,2026-08-17,Acceptance defect,PM03,Critical,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,56,0,1,PMO,Demo Coordinator 03
P12-I2,P12,2026-08-17,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 03
P13-I1,P13,2026-08-17,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P13-I2,P13,2026-08-17,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P14-I1,P14,2026-08-17,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P14-I2,P14,2026-08-17,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P15-I1,P15,2026-08-17,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P15-I2,P15,2026-08-17,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P16-I1,P16,2026-08-17,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P16-I2,P16,2026-08-17,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P17-I1,P17,2026-08-17,Acceptance defect,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 08
P17-I2,P17,2026-08-17,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 08
P18-I1,P18,2026-08-17,Acceptance defect,PM09,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 09
P18-I2,P18,2026-08-17,Review backlog,PM09,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 09
P01-I1,P01,2026-08-24,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P01-I2,P01,2026-08-24,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P02-I1,P02,2026-08-24,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,63,0,0,None,Demo Coordinator 02
P02-I2,P02,2026-08-24,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 02
P03-I1,P03,2026-08-24,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,63,0,0,None,Demo Coordinator 03
P03-I2,P03,2026-08-24,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 03
P04-I1,P04,2026-08-24,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P04-I2,P04,2026-08-24,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P05-I1,P05,2026-08-24,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P05-I2,P05,2026-08-24,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P06-I1,P06,2026-08-24,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P06-I2,P06,2026-08-24,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P07-I1,P07,2026-08-24,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P07-I2,P07,2026-08-24,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P08-I1,P08,2026-08-24,Acceptance defect,PM08,Critical,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,63,0,1,PMO,Demo Coordinator 08
P08-I2,P08,2026-08-24,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 08
P09-I1,P09,2026-08-24,Acceptance defect,PM09,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 09
P09-I2,P09,2026-08-24,Review backlog,PM09,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 09
P10-I1,P10,2026-08-24,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P10-I2,P10,2026-08-24,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P11-I1,P11,2026-08-24,Acceptance defect,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 02
P11-I2,P11,2026-08-24,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 02
P12-I1,P12,2026-08-24,Acceptance defect,PM03,Critical,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,63,0,1,PMO,Demo Coordinator 03
P12-I2,P12,2026-08-24,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 03
P13-I1,P13,2026-08-24,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P13-I2,P13,2026-08-24,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P14-I1,P14,2026-08-24,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P14-I2,P14,2026-08-24,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P15-I1,P15,2026-08-24,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P15-I2,P15,2026-08-24,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P16-I1,P16,2026-08-24,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P16-I2,P16,2026-08-24,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P17-I1,P17,2026-08-24,Acceptance defect,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 08
P17-I2,P17,2026-08-24,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 08
P18-I1,P18,2026-08-24,Acceptance defect,PM09,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 09
P18-I2,P18,2026-08-24,Review backlog,PM09,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 09
P01-I1,P01,2026-08-31,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P01-I2,P01,2026-08-31,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P02-I1,P02,2026-08-31,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,70,0,0,None,Demo Coordinator 02
P02-I2,P02,2026-08-31,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 02
P03-I1,P03,2026-08-31,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,70,0,0,None,Demo Coordinator 03
P03-I2,P03,2026-08-31,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 03
P04-I1,P04,2026-08-31,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P04-I2,P04,2026-08-31,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P05-I1,P05,2026-08-31,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P05-I2,P05,2026-08-31,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P06-I1,P06,2026-08-31,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P06-I2,P06,2026-08-31,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P07-I1,P07,2026-08-31,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
